a,b,sse,sae,0.01,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,0.99
2.5394475110489054,11.786720536590025,327.3303144856095,114.25554200019101,6432,6827,6579,6847,6276,6080,5715,5209,3888,72,12
2.226580245914377,13.937355384985977,1428.5896035488029,204.0088900631596,1577,1920,2413,2047,2675,2781,3331,3644,3527,68,15
3.1272569908582,2.622158122991209,3926.1621963451853,328.3843465832266,577,775,608,650,750,820,856,1064,1748,69,12
3.4495980367642147,1.6577966110221922,7386.193091197635,455.7867362168414,302,271,284,406,284,310,88,79,513,76,13
2.3023001859745023,24.808045205558656,10470.01516457364,648.1298534279048,0,0,0,0,0,0,0,0,179,86,14
2.391528958568017,-15.483253825404205,24644.15508264636,1003.8134068415724,0,0,0,0,0,0,0,0,19,71,11
0.597973664437589,-0.9937656413356848,24860.51141938447,851.7216929240328,112,81,67,24,13,7,9,3,62,47,11
1.1713037667087747,29.879256464348117,28007.266695944465,886.4222723872128,18,2,2,3,1,1,1,1,58,66,8
-0.054826035609849555,25.255487188686686,48299.63646800369,1177.04557491345,42,9,12,12,0,1,0,0,4,76,11
0.8043076004505849,38.13402912783201,51305.097159802535,1212.9999530227533,0,0,0,0,0,0,0,0,1,63,10
2.753365917153843,47.761239908014915,61968.2577004519,1589.210836228611,0,0,0,0,0,0,0,0,0,65,13
-0.7507320882619268,-7.838382861116287,72280.8439219029,1453.0077258944307,0,0,0,0,0,0,0,0,1,79,9
1.4630058903966727,50.14683979958329,75588.1073816359,1687.020431782915,0,0,0,0,0,0,0,0,0,54,6
6.0753921155977935,16.80181057754686,75872.47937860551,1519.2213887452208,9,20,12,3,0,0,0,0,0,72,10
6.387581835459329,1.1272976255873601,89291.45625695707,1648.8223917522257,6,26,11,1,0,0,0,0,0,80,13
6.541243689049068,-6.283190337794636,103320.2863645126,1755.809757496582,11,9,5,4,1,0,0,0,0,84,11
6.284693489095389,33.52850022587609,106886.75384530483,1749.4846418144461,10,3,0,0,0,0,0,0,0,64,11
-0.6847614139425531,43.49387545830973,107002.05342332115,1711.6474229466958,0,0,0,0,0,0,0,0,0,58,11
7.000776630292663,10.629810611176225,116384.03177078687,1891.9559953340947,0,19,1,0,0,0,0,0,0,65,14
4.561962903037653,-40.26312674122894,123905.78832672772,2019.7881963903865,0,0,0,0,0,0,0,0,0,53,9
1.1842122887524056,-44.56246287432286,127564.08110383464,2196.0609778472367,0,0,0,0,0,0,0,0,0,82,9
0.9240654194620816,63.02288718239507,133913.0565846494,2214.938374478197,0,0,0,0,0,0,0,0,0,78,7
7.473467916510785,12.336295415812032,142437.4646402309,2092.1928203503417,216,13,3,0,0,0,0,0,0,76,11
2.8474430188872617,-51.34586876279626,149999.49252508566,2474.1806192746462,0,0,0,0,0,0,0,0,0,64,6
7.186643495566457,-16.173418394914037,152058.70118213433,2104.6985656149727,8,0,1,2,0,0,0,0,0,68,6
-2.891644519096289,15.409545610800635,168545.20103294228,2272.9360458146507,240,5,0,1,0,0,0,0,0,64,13
-3.26968991624193,16.191457514280657,193201.10623617892,2433.3047575319683,3,0,0,0,0,0,0,0,0,60,16
-3.3582565069634853,9.512040843885217,197002.78140877938,2460.9797737685485,271,4,0,0,0,0,0,0,0,69,5
0.3548739512950334,74.66530815645876,203202.2279967293,2692.2776344148097,0,0,0,0,0,0,0,0,0,67,11
5.495302261106346,74.74987093764938,228743.2032081512,2695.7447084436244,0,0,0,0,0,0,0,0,0,70,16
-3.9857035383889468,26.913026598470836,254605.30862499744,2774.646397885378,0,0,0,0,0,0,0,0,0,60,11
-3.1350626079393606,-34.76349234979233,260792.53538623863,2707.6151745368124,12,1,0,0,0,0,0,0,0,64,5
7.511652868611577,-44.4611591441179,261351.5711074963,2676.2967312960645,0,0,0,0,0,0,0,0,0,61,15
8.851145825592695,-17.985967552669834,261392.62616509962,2783.332038211106,0,0,0,0,0,0,0,0,0,71,10
5.016490343736081,-65.14467110352766,261744.55612673314,3039.9315152446334,0,0,0,0,0,0,0,0,0,75,8
8.841233102028397,37.43909718022658,263972.5740249376,2792.445115433398,0,0,0,0,0,0,0,0,0,77,11
9.315682702008928,15.941470912564569,268618.810941851,2869.779782177425,0,6,0,0,0,0,0,0,0,68,10
8.796402170958785,-24.121881799400626,272539.88612440106,2819.9375464673335,0,0,0,0,0,0,0,0,0,61,12
-4.427545518160628,0.8822479182795604,278169.50469478697,2920.0672828363035,0,1,0,0,0,0,0,0,0,70,11
6.80048674095211,-56.00775511559477,279422.9660721967,2789.328021954818,43,1,0,0,0,0,0,0,0,61,17
4.029427331563994,90.82828610014133,287957.31395450054,3354.959730105794,0,0,0,0,0,0,0,0,0,80,7
7.986312865241516,-44.106289068053826,288403.2651112729,2819.5027378227232,0,0,0,0,0,0,0,0,0,71,10
9.679913420758496,8.681194331200174,295907.8067470677,3015.8824423873675,0,0,0,0,0,0,0,0,0,67,14
-1.3307982765650763,81.00665158287563,296817.8613603963,2963.0483741384755,0,0,0,0,0,0,0,0,0,63,8
-4.004595880050289,45.82593001335928,298460.17978558585,2941.8776233665644,0,0,0,0,0,0,0,0,0,72,14
-2.414878674353531,71.6049295817661,299350.0914074044,2862.6512095734847,0,0,0,0,0,0,0,0,0,85,10
8.073756128983973,-48.54493336101455,314091.3809685859,2936.308000566338,0,0,0,0,0,0,0,0,0,82,11
5.025391975044343,91.47094194063095,315467.1574101012,3381.308619565869,0,0,0,0,0,0,0,0,0,77,9
4.420516599481132,94.14296260614515,318393.61154639465,3490.8614668519513,0,0,0,0,0,0,0,0,0,86,16
9.47785084705697,42.02755534904841,324206.5059329737,3088.388336964225,0,0,0,0,0,0,0,0,0,64,14
9.831724340706288,28.569324564712048,324250.3005992037,3133.1804998759635,0,0,0,0,0,0,0,0,0,73,10
9.687594289043773,36.58321303215658,327731.25623902597,3125.6209611549557,0,0,0,0,0,0,0,0,0,56,9
0.8751374359528228,-79.721744849641,337888.0921164776,3637.5915388352814,0,0,0,0,0,0,0,0,0,71,4
10.004574378353581,-17.81577246264743,352751.4858488912,3249.5767536067933,0,0,0,0,0,0,0,0,0,82,9
4.7139416490304455,-81.57809716508812,364514.88509726286,3713.7019837686134,0,0,0,0,0,0,0,0,0,57,7
8.409376277889692,-57.053166032556234,379328.82914365636,3221.1231867810247,0,0,0,0,0,0,0,0,0,76,18
10.591783226510842,-10.146671783325374,390868.1228605082,3445.7316146921157,0,0,0,0,0,0,0,0,0,65,9
-2.9812239803239606,-66.39219482731586,405494.8103671043,3340.1205676546306,22,1,1,0,0,0,0,0,0,62,13
8.902905543430009,-56.19586698782979,409594.4685091045,3354.013925207729,0,0,0,0,0,0,0,0,0,61,12
-5.717700566289068,-17.96027911740498,417426.78156148095,3541.543784867774,0,1,0,0,0,0,0,0,0,65,9
0.026265657231718365,-88.11688014331654,421824.3603355372,3981.792085875978,0,0,0,0,0,0,0,0,0,39,12
11.033675824984684,-8.255491742278352,430215.42831920827,3619.219250255051,0,0,0,0,0,0,0,0,0,73,14
0.2478076807542493,-90.72383083200933,436853.9450623309,4088.6770641123817,0,0,0,0,0,0,0,0,0,0,11
-0.7778857922113644,-86.67971938152556,437012.5891693504,3922.8684946425483,0,0,0,0,0,0,0,0,0,30,9
11.227956772059471,-6.375988619080246,446950.558908326,3694.4138965780994,0,0,0,0,0,0,0,0,0,67,10
9.509164599793081,72.55049946271663,447582.25460172753,3520.4838077233326,11,0,0,0,0,0,0,0,0,73,14
-3.941772328872389,80.53635638660396,448004.97411844897,3500.5666276071383,0,0,0,0,0,0,0,0,0,61,14
0.6886859856497125,-93.66125815806913,450944.8185427657,4209.1115844808355,0,0,0,0,0,0,0,0,0,0,17
-5.6651579319577365,-34.904843688431825,461717.7225404137,3667.3648740362673,0,0,0,0,0,0,0,0,0,80,11
-1.2520858976641875,-87.98861474015551,466487.01982679253,3976.533204346375,0,0,0,0,0,0,0,0,0,28,14
-6.261568872361394,-16.799720344096272,467922.2598266349,3756.2881148780984,0,4,1,0,0,0,0,0,0,62,14
-6.552390329494642,-1.638978354946758,475009.42596692935,3815.816092793601,0,0,0,0,0,0,0,0,0,58,8
-3.740359583767301,-69.35791223283225,475266.04238629004,3606.402735935373,0,0,0,0,0,0,0,0,0,64,8
-5.877059751612606,-33.09910792011233,475470.9770656242,3730.143490250152,7,0,0,0,0,0,0,0,0,66,13
8.577962781832454,91.71740579739725,492573.90334983735,3679.9250986058505,0,0,0,0,0,0,0,0,0,69,13
-6.630450115931666,30.275274728197274,497073.9147991962,3886.382721636696,0,0,0,0,0,0,0,0,0,66,17
10.584308682246643,65.26424855971561,504936.001338498,3787.3039131655346,13,1,0,0,0,0,0,0,0,83,10
10.090734221844173,-56.99694581492321,509313.943325936,3763.5235880554665,0,0,0,0,0,0,0,0,0,60,11
-6.968959326046658,28.22549182107298,529809.6356894389,4016.2766200886817,0,0,0,0,0,0,0,0,0,60,13
-6.643797921429567,-31.07775968666411,545771.1917379557,4018.2190057518037,0,0,0,0,0,0,0,0,0,87,15
-7.145864002092296,-10.198605080667406,549177.097989757,4089.566968116582,0,0,0,0,0,0,0,0,0,74,14
11.77679961513114,46.25721045502644,550890.8126764616,4046.0347401476934,0,0,0,0,0,0,0,0,0,51,10
9.2527395665346,-75.67464098232082,555702.6699356386,3899.5892701231546,0,0,0,0,0,0,0,0,0,61,13
11.772797236177482,48.68108300623285,558110.6939583658,4066.2486415270882,0,0,0,0,0,0,0,0,0,65,13
12.552902894019269,-1.8490848386687304,584915.1251796767,4234.6606642160605,0,0,0,0,0,0,0,0,0,65,12
-3.890226924630923,-85.30158270480499,598997.2293769937,4076.693552611838,42,0,0,0,0,0,0,0,0,35,8
-6.251784190850799,-53.78613554627849,601274.041733579,4127.441478663867,0,0,0,0,0,0,0,0,0,61,11
12.576050709990511,36.255961851602905,613222.205719821,4307.764803194086,0,0,0,0,0,0,0,0,0,55,8
-5.192420402936548,91.60810575192022,619442.988275391,4119.420545700654,0,0,0,0,0,0,0,0,0,48,13
9.934637043480251,95.82535957756261,626356.1382346723,4138.158738806253,0,0,0,0,0,0,0,0,0,51,11
-7.242458320100425,56.35999984280667,636776.6892319882,4323.22332662543,0,0,0,0,0,0,0,0,0,81,12
12.446305165120194,51.632970253344865,642372.7584099049,4362.218798328182,0,0,0,0,0,0,0,0,0,67,8
9.315055787453247,-88.76927059758917,658506.2573167831,4266.470562695267,0,0,0,0,0,0,0,0,0,0,12
-8.052042955810364,32.76144784524041,662272.6670586586,4487.353022931693,0,0,0,0,0,0,0,0,0,69,11
12.322812841032402,62.31330218809629,670373.7589092891,4417.343332071697,0,0,0,0,0,0,0,0,0,56,12
-5.535124559979792,95.58596126483323,677975.1974401643,4309.1938001552335,0,0,0,0,0,0,0,0,0,40,11
-6.793393535345274,-64.32359372692424,716177.8432103294,4482.6491527695425,7,0,0,0,0,0,0,0,0,53,17
11.73537712769081,-65.72540374040001,718516.4990952694,4484.243104023202,0,0,0,0,0,0,0,0,0,57,17
11.78843023052913,86.01536375603325,738404.1499195576,4541.634904076704,0,0,0,0,0,0,0,0,0,71,13
13.773988058955496,34.137515135094276,755477.7921187751,4793.118632083047,0,0,0,0,0,0,0,0,0,76,12
-8.68439074527285,48.52578192302937,782073.807910206,4839.911897532528,0,0,0,0,0,0,0,0,0,60,18
-8.858867815423338,-26.91194436504351,793473.4376682104,4885.801679248027,0,0,0,0,0,0,0,0,0,66,7
-8.596737412862737,58.7750444696951,808389.4732759236,4886.670365372351,0,0,0,0,0,0,0,0,0,60,9
-7.96963355953379,75.8562821829129,812440.1833992315,4826.653153881641,0,0,0,0,0,0,0,0,0,73,12
-9.521520805607622,6.596118540863017,829764.2891220837,5051.442619814339,0,0,0,0,0,0,0,0,0,58,11
14.180689895783999,44.78005443185063,835645.7884750341,5016.181858502827,0,0,0,0,0,0,0,0,0,77,10
14.181522925882945,-36.5534363905633,868348.5312084643,5084.935408494184,0,0,0,0,0,0,0,0,0,63,12
13.846652524911065,66.55148242865536,874804.1433301144,5058.260791430524,0,0,0,0,0,0,0,0,0,57,11
14.810432573844352,20.284741483247785,875099.5068947577,5181.666422497876,0,0,0,0,0,0,0,0,0,76,10
12.725674697074666,94.41862172803255,899349.7665342415,5010.651363958537,0,0,0,0,0,0,0,0,0,42,14
-9.498464602927001,52.10026546620935,902511.4454445196,5197.075416257681,0,0,0,0,0,0,0,0,0,77,11
-6.85910377654298,-91.55130453503173,917315.9654821447,5012.8995659639895,0,0,0,0,0,0,0,0,0,0,13
-10.0154933327874,-16.665919444616577,926107.9873623227,5309.743836997069,0,0,0,0,0,0,0,0,0,72,14
-6.868280644787774,-92.88179191774478,929345.1565539564,5043.684630156851,0,0,0,0,0,0,0,0,0,0,16
-7.9263529299936835,95.34565200359458,929667.1517322827,5096.246903698909,0,0,0,0,0,0,0,0,0,40,13
-8.22909364887154,-77.13172720153514,964916.8576802138,5197.963952233393,0,0,0,0,0,0,0,0,0,44,13
-8.728349272953409,-70.09072936753269,980144.3315972075,5273.480075868029,0,0,0,0,0,0,0,0,0,58,9
-7.20567551156266,-96.81649441015581,999791.1372186242,5230.905791197697,9,0,0,0,0,0,0,0,0,0,9
15.549771688664137,33.546386331998065,1002205.6744250804,5528.443724857603,0,0,0,0,0,0,0,0,0,56,8
12.435161379014886,-95.50269087113278,1014333.965910985,5274.456535788403,0,0,0,0,0,0,0,0,0,0,7
-7.916169609940965,-92.31124336207226,1043593.1121234817,5362.24959515989,0,0,0,0,0,0,0,0,0,0,5
15.849623048222867,39.38280047978958,1060787.0771049347,5678.6579443632145,0,0,0,0,0,0,0,0,0,72,15
16.120273132136177,-5.6780384780561945,1073671.200069601,5737.3082846670895,0,0,0,0,0,0,0,0,0,73,12
16.120499805468697,-15.398381405748836,1089279.9274414717,5766.56406290316,0,0,0,0,0,0,0,0,0,57,15
16.09768324867727,-18.92114233602136,1093271.9188212806,5769.046576632496,0,0,0,0,0,0,0,0,0,71,10
-10.782127649254434,54.23973666432934,1096533.5961866241,5735.7862375461145,0,0,0,0,0,0,0,0,0,72,12
15.790159897802482,58.05189755551049,1112496.364432211,5765.748521191985,0,0,0,0,0,0,0,0,0,53,18
16.42117597280084,0.6438953166752981,1115269.8701776718,5855.250013259677,0,0,0,0,0,0,0,0,0,70,7
16.218186830862663,40.323700932839444,1120430.9944231734,5835.94785264134,0,0,0,0,0,0,0,0,0,74,17
-11.280348299557843,-33.73894751455582,1164905.8387566376,5921.554738821493,0,0,0,0,0,0,0,0,0,70,13
16.541118430831588,40.931576230042054,1173462.9069487196,5972.680911514486,0,0,0,0,0,0,0,0,0,76,18
-10.735901019962142,73.84553229692997,1177987.9605645076,5877.970198657226,0,0,0,0,0,0,0,0,0,63,11
16.68320897670506,-19.644462905044207,1188318.7283331885,6015.070830881115,0,0,0,0,0,0,0,0,0,67,14
16.706531346583176,-20.967655770883425,1195299.034942814,6031.342256339852,0,0,0,0,0,0,0,0,0,68,11
16.95081098186992,18.596044163771566,1202436.3309209389,6078.936656549138,0,0,0,0,0,0,0,0,0,54,8
-10.695509436998464,81.83818402292252,1216978.6769150372,5947.468704681549,0,0,0,0,0,0,0,0,0,35,11
16.729610726089177,48.91412060314997,1227564.2728924595,6090.629443616669,0,0,0,0,0,0,0,0,0,81,8
14.973358971883783,99.96683655318876,1232329.6658503357,5904.805214063528,0,0,0,0,0,0,0,0,0,20,13
16.18538593369898,71.91736553645654,1237345.7743335725,6040.410663307701,0,0,0,0,0,0,0,0,0,66,4
14.223952226935026,-95.79574413449723,1239237.1279404939,5861.463025259842,0,0,0,0,0,0,0,0,0,0,16
15.36648357128081,-75.0450699851209,1239842.8584137827,5956.116699750717,0,0,0,0,0,0,0,0,0,17,15
-11.375429916397437,-50.4066800151828,1249803.466641758,6084.832086695621,0,0,0,0,0,0,0,0,0,56,9
17.065964247446004,-36.264964621891,1301845.9828992665,6259.768165311207,0,0,0,0,0,0,0,0,0,59,8
15.641119116074393,-80.2201463351019,1317604.541709529,6127.204928232444,0,0,0,0,0,0,0,0,0,14,13
15.43678566293272,-86.28497887919906,1332897.1448773036,6138.264664495496,0,0,0,0,0,0,0,0,0,3,7
15.767547527196484,98.30333331345918,1337378.1707747227,6176.0762983552395,0,0,0,0,0,0,0,0,0,14,10
16.72904362545735,81.59898814903417,1378248.1538130748,6347.915883567742,0,0,0,0,0,0,0,0,0,43,13
-11.483696918869342,88.64908346646908,1382524.3308168796,6329.7817164902035,0,0,0,0,0,0,0,0,0,19,15
16.249823390211233,96.36433252001834,1398124.4627872813,6333.169564260084,0,0,0,0,0,0,0,0,0,16,14
17.270449336034787,-52.435995846223406,1407023.4814075509,6461.103697029925,0,0,0,0,0,0,0,0,0,44,15
17.096770538102504,76.57973395233776,1410245.014298998,6446.925820812042,0,0,0,0,0,0,0,0,0,43,11
-12.138607847852882,-58.37803118057139,1416149.7025278546,6461.845419766295,0,0,0,0,0,0,0,0,0,40,8
-12.773207470222616,62.01344615011891,1454202.217680557,6602.5627709016635,0,0,0,0,0,0,0,0,0,55,7
18.146413162931665,-26.13422633671223,1455821.7737974783,6653.286181137271,0,0,0,0,0,0,0,0,0,61,10
17.524654284087475,-60.45538551928728,1493535.0303683837,6634.960183308578,0,0,0,0,0,0,0,0,0,26,14
-11.465776143888192,-87.79230109805007,1503664.9965749476,6537.363296664386,0,0,0,0,0,0,0,0,0,2,9
17.617541748456716,80.40897813903231,1520888.921797037,6689.697502633978,0,0,0,0,0,0,0,0,0,28,12
-13.569738864230345,-30.00767470015333,1544663.097230579,6847.91026329213,0,0,0,0,0,0,0,0,0,63,10
18.142518673143144,75.52001517718872,1585932.7703095973,6855.687605851956,0,0,0,0,0,0,0,0,0,35,11
-12.738222251847972,-70.4807336934243,1591852.2840233888,6817.194748848377,0,0,0,0,0,0,0,0,0,15,6
19.035906769007212,-40.8682235013283,1671484.2890670488,7095.727526264241,0,0,0,0,0,0,0,0,0,41,15
17.96076400528605,97.2037055417644,1691037.8241430635,6999.938723020969,0,0,0,0,0,0,0,0,0,7,12
-13.689860609419725,-59.66314548580578,1697820.2362792098,7093.912553140141,0,0,0,0,0,0,0,0,0,25,11
-14.544197788237284,43.61706497580491,1716628.841812835,7229.383209209262,0,0,0,0,0,0,0,0,0,39,12
19.946502871154408,15.262601319421407,1748751.881553289,7333.793807204273,0,0,0,0,0,0,0,0,0,55,12
-13.968828372289693,94.54451548977772,1856848.4770126746,7363.832735580534,0,0,0,0,0,0,0,0,0,1,4
-14.620644769779133,75.21364160994838,1862242.6796365005,7448.718557339526,0,0,0,0,0,0,0,0,0,13,18
19.407136427678424,82.74395453434315,1863751.2489818046,7426.550161880458,0,0,0,0,0,0,0,0,0,6,12
-15.69556344363265,22.83695505076264,1908240.6709675873,7655.973601376479,0,0,0,0,0,0,0,0,0,44,13
20.13569880102186,-48.57928884941758,1921172.9411106794,7598.420132762842,0,0,0,0,0,0,0,0,0,16,10
-14.852031010778319,-60.949740915067665,1928885.3227598206,7570.360072546935,0,0,0,0,0,0,0,0,0,9,11
-14.461164010763099,-87.07994869632105,2029775.0438050253,7671.73339985714,0,0,0,0,0,0,0,0,0,0,8
-15.963713118049824,53.16570618650991,2036790.9438074813,7864.805761805175,0,0,0,0,0,0,0,0,0,18,10
-16.51715112500824,3.2420864451451905,2077241.9881801608,7992.961386058316,0,0,0,0,0,0,0,0,0,53,6
-15.728747101301991,73.88932775189824,2079964.26696954,7891.554111594502,0,0,0,0,0,0,0,0,0,8,5
21.464908952633152,42.821334114682344,2111392.1971719335,8028.795944544706,0,0,0,0,0,0,0,0,0,33,8
-16.625657970399573,26.412940888152292,2112070.781601413,8050.189288455976,0,0,0,0,0,0,0,0,0,53,13
-15.35418192858684,-75.00216181914567,2119061.0936281886,7897.692227807048,0,0,0,0,0,0,0,0,0,0,17
21.74431397276446,-5.176324822100582,2134012.0760245463,8096.788193383174,0,0,0,0,0,0,0,0,0,49,16
21.54080288874887,46.84743314729312,2139779.0385099873,8072.597906938908,0,0,0,0,0,0,0,0,0,21,8
-16.803052532977006,-6.36111498647773,2148443.502900334,8122.64317883682,0,0,0,0,0,0,0,0,0,21,9
19.832586095080075,-92.7652061849685,2149004.86865154,7879.125845115883,0,0,0,0,0,0,0,0,0,0,15
20.89381352538453,-64.77250072678957,2165165.494680844,8021.477916694918,0,0,0,0,0,0,0,0,0,4,11
21.29054983922633,67.35681564597846,2166332.7763408627,8075.0420439261925,0,0,0,0,0,0,0,0,0,13,10
-14.928120588038539,-94.20804843143775,2180192.0344092273,7932.255562080844,0,0,0,0,0,0,0,0,0,0,5
21.305844576546292,-53.02688405738385,2187747.904142211,8106.972775632573,0,0,0,0,0,0,0,0,0,5,8
21.632300532326894,58.75385206239622,2202591.139401163,8169.541680695315,0,0,0,0,0,0,0,0,0,13,12
-17.1115607648088,20.087890811771175,2212721.025955267,8247.943412031467,0,0,0,0,0,0,0,0,0,47,12
20.747411966107762,-76.96899744355403,2214253.9788447367,8072.685763435091,0,0,0,0,0,0,0,0,0,0,17
-16.923426431414043,-39.65010229583144,2262567.028081008,8284.549054084571,0,0,0,0,0,0,0,0,0,16,7
-16.207471655719786,88.36445187316414,2267072.2706687097,8197.268729146392,0,0,0,0,0,0,0,0,0,2,10
-17.106171266611383,-40.69701610656187,2307728.732768636,8365.439984909923,0,0,0,0,0,0,0,0,0,5,9
-17.538026770692355,21.66569042284941,2311316.4550629104,8428.636934113634,0,0,0,0,0,0,0,0,0,29,6
22.120864563887594,-41.903797082763596,2316014.65144074,8377.556914863284,0,0,0,0,0,0,0,0,0,8,11
-17.639380433240717,-1.7350927170475074,2332838.1887491345,8469.274874678149,0,0,0,0,0,0,0,0,0,24,16
22.698239678244207,-18.244870068831773,2372175.0069606127,8524.598795712573,0,0,0,0,0,0,0,0,0,18,11
